262,24931,Ev-75012,Event,Ma petite cinémathèque,Reuilly,75012
263,25,Pa-75004,Park,JARDIN FEDERICO GARCIA LORCA,Hotel de ville,75004
264,250,Pa-75013,Park,JARDIN BERTHE MORISOT,Gobelins,75013
265,251,Pa-75013,Park,JARDIN YACINE KATEB,Gobelins,75013
266,252,Pa-75013,Park,SQUARE HENRI ROUSSELLE,Gobelins,75013
267,25276,Ev-75020,Event,Les (toutes) petites oreilles,Menilmontant,75020
268,25301,Ev-75020,Event,16h04,Menilmontant,75020
269,25304,Ev-75020,Event,16h04 : Djeb'art,Menilmontant,75020
270,25305,Ev-75020,Event,16h04 : ciné pop,Menilmontant,75020
271,25307,Ev-75020,Event,OKLM,Menilmontant,75020
272,25317,Ev-75020,Event,Ça joue !,Menilmontant,75020
273,254,Pa-75013,Park,JARDIN FEDERICA MONTSENY,Gobelins,75013
274,255,Pa-75013,Park,JARDIN DE LA PLACE DU DOCTEUR NAVARRE,Gobelins,75013
275,26,Pa-75004,Park,SQUARE BARYE,Hotel de ville,75004
276,26312,Ev-75013,Event,Heure du conte 3/6 ans bibliothèque Italie,Gobelins,75013
277,27,Pa-75004,Park,SQUARE CHARLES-VICTOR LANGLOIS,Hotel de ville,75004
278,27208,Ev-75011,Event,Stages 5-11 ans Comédie musicale vacances février 2025,Popincourt,75011
279,27212,Ev-75011,Event,Stage 5-11 ans Théâtre/Hip-hop Matin vacances juillet 2025,Popincourt,75011
280,276,Pa-75014,Park,SQUARE FERDINAND BRUNOT,Observatoire,75014
281,278,Pa-75014,Park,SQUARE DE L'ABBE MIGNE,Observatoire,75014
282,27847,Ev-75018,Event,Halloween : jeu de piste nocturne à Montmartre entre amis,Butte-Montmartre,75018
283,27884,Ev-75008,Event,Bébé concerts par l'Orchestre Lamoureux,Elysee,75008
284,279,Pa-75014,Park,SQUARE CLAUDE-NICOLAS LEDOUX,Observatoire,75014
285,28,Pa-75004,Park,SQUARE PRIOU - VALJEAN,Hotel de ville,75004
286,280,Pa-75014,Park,SQUARE JACQUES ANTOINE,Observatoire,75014
287,281,Pa-75014,Park,SQUARE GEORGES LAMARQUE,Observatoire,75014
288,282,Pa-75014,Park,SQUARE GASTON BATY,Observatoire,75014
289,28220,Ev-75002,Event,Visite guidée : Paris dans la grande guerre,Bourse,75002
290,283,Pa-75014,Park,SQUARE DU SERMENT DE KOUFRA,Observatoire,75014
291,284,Pa-75014,Park,SQUARE DE L'ASPIRANT DUNAND,Observatoire,75014
292,285,Pa-75014,Park,SQUARE JEAN MOULIN,Observatoire,75014
293,28537,Ev-75006,Event,Les 4 saisons de Vivaldi intégrale & Petite Musique de Nuit de Mozart,Luxembourg,75006
294,28539,Ev-75006,Event,"Les 4 Saisons de Vivaldi, Ave Maria et Célèbres Concertos",Luxembourg,75006
295,286,Pa-75014,Park,SQUARE DU CHANOINE VIOLLET,Observatoire,75014
296,288,Pa-75014,Park,SQUARE JULES HENAFFE,Observatoire,75014
297,290,Pa-75014,Park,SQUARE JULIA BARTET,Observatoire,75014
298,292,Pa-75014,Park,SQUARE PATURLE,Observatoire,75014
299,29237,Ev-75012,Event,Goûter des ados : spécial manga,Reuilly,75012
300,293,Pa-75014,Park,JARDIN CHERIFA,Observatoire,75014
301,294,Pa-75014,Park,JARDIN MAUDY PIOT-JACOMET,Observatoire,75014
302,295,Pa-75014,Park,SQUARE PAULY,Observatoire,75014
303,296,Pa-75014,Park,SQUARE DES JONQUILLES,Observatoire,75014
304,297,Pa-75014,Park,SQUARE JULES DURAND,Observatoire,75014
305,298,Pa-75014,Park,SQUARE HENRI ET ACHILLE DUCHENE,Observatoire,75014
306,299,Pa-75014,Park,SQUARE DU PERE PLUMIER,Observatoire,75014
307,29996,Ev-75001,Event,Café ô Jardin,Louvre,75001
308,3,Pa-75001,Park,SQUARE DE LA PLACE DAUPHINE,Louvre,75001
309,30,Pa-75004,Park,JARDIN DU PASSAGE DE L'HOTEL DE SENS,Hotel de ville,75004
310,300,Pa-75014,Park,SQUARE DU CARDINAL WYSZINSKI,Observatoire,75014
311,301,Pa-75014,Park,JARDIN DES COLONNES,Observatoire,75014
312,302,Pa-75014,Park,JARDIN DU CLOITRE,Observatoire,75014
313,303,Pa-75014,Park,SQUARE CAROLE ROUSSOPOULOS,Observatoire,75014
314,304,Pa-75014,Park,SQUARE FREDERIC BAZILLE,Observatoire,75014
315,305,Pa-75014,Park,SQUARE AUX ARTISTES,Observatoire,75014
316,30573,Ev-75019,Event,Heure du conte,Buttes-Chaumont,75019
317,306,Pa-75014,Park,JARDIN JULES NOEL,Observatoire,75014
318,30696,Ev-75013,Event,Atelier Philo en famille,Gobelins,75013
319,307,Pa-75014,Park,JARDIN LIONEL ASSOUAD,Observatoire,75014
