"ART Hôtel Lafayette","98 Rue d'Hauteville, Paris","playground","48.8774","2.35161","75010","ART_75010_1050","pl-75010","kfex3075","kfex3075_1051"
"Art Museum","Avenue de Choisy, Paris","museum","48.8258","2.36022","75013","Art_75013_1452","mu-75013","kfex3075","kfex3075_1453"
"Art Hotel Batignolles","110 Rue Legendre, Paris","playground","48.888","2.32103","75017","Art_75017_2025","pl-75017","kfex3075","kfex3075_2026"
"ART42 - Musée d'art urbain","89 Boulevard Bessières, Paris","museum","48.8962","2.31918","75017","ART4_75017_2014","mu-75017","kfex3075","kfex3075_2015"
"Artgapi","37 Rue de la Chaussée d'Antin, Paris","museum","48.8747","2.33227","75008","Artg_75008_901","mu-75008","kfex3075","kfex3075_902"
"Arti","173 Rue Lecourbe, Paris","restaurant","48.8409","2.29735","75015","Arti_75015_1697","re-75015","kfex3075","kfex3075_1698"
"Arts et Métiers ParisTech","151 Boulevard de l'Hôpital, Paris","playground","48.833","2.35822","75013","Arts_75013_1480","pl-75013","kfex3075","kfex3075_1481"
"Arty Paris Porte de Versailles","62 Rue des Morillons, Paris","playground","48.8318","2.30449","75015","Arty_75015_1760","pl-75015","kfex3075","kfex3075_1761"
"Asfored - Edinovo Training","21 Rue Charles Fourier, Paris","playground","48.825","2.35128","75013","Asfo_75013_1495","pl-75013","kfex3075","kfex3075_1496"
"Assanabel Paris - Alésia","6 Rue d'Alésia, Paris","restaurant","48.8275","2.33566","75013","Assa_75013_1446","re-75013","kfex3075","kfex3075_1447"
"Assommoir Garden","6 Place de l'assommoir, Paris","park","48.8847","2.35061","75009","Asso_75009_953","pa-75009","kfex3075","kfex3075_954"
"Association WDA","44 Rue de la Faisanderie, Paris","museum","48.8692","2.27598","75016","Asso_75016_1884","mu-75016","kfex3075","kfex3075_1885"
"Association WDA","3 Villa Jacquemont, Paris","museum","48.8881","2.32241","75017","Asso_75017_2016","mu-75017","kfex3075","kfex3075_2017"
"Association goutte verte","19 Rue Richomme, Paris","park","48.8862","2.35105","75018","Asso_75018_2078","pa-75018","kfex3075","kfex3075_2079"
"Association Entr'Aide","51 Rue de l'Ourcq, Paris","playground","48.8906","2.382","75019","Asso_75019_2353","pl-75019","kfex3075","kfex3075_2354"
"Association du Foyer de Charonne","123 Boulevard de Charonne, Paris","playground","48.8571","2.39298","75020","Asso_75020_2481","pl-75020","kfex3075","kfex3075_2482"
"ASTIER restaurant ouvert 7j/7 canal Saint-Martin/République","44 Rue Jean-Pierre Timbaud, Paris","restaurant","48.8662","2.37203","75003","ASTI_75003_337","re-75003","kfex3075","kfex3075_338"
"Astrolabe ESA HQ Visitor Center and Space Shop","Square Lowendal, 6 Rue Mario Nikis, Paris","museum","48.8485","2.30408","75007","Astr_75007_792","mu-75007","kfex3075","kfex3075_793"
"atelier d'artistes","6 Rue de Vaucouleurs, Paris","museum","48.8685","2.37815","75003","atel_75003_355","mu-75003","kfex3075","kfex3075_356"
"ATELIER DES LUMIERES","10 BIS Rue de la Pierre Levée, Paris","museum","48.8675","2.37054","75003","ATEL_75003_370","mu-75003","kfex3075","kfex3075_371"
"Atelier Maître Albert","1 Rue Maître Albert, Paris","restaurant","48.8511","2.35022","75004","Atel_75004_449","re-75004","kfex3075","kfex3075_450"
"Atelier Gustave","36 Rue Boissonade, Paris","museum","48.8389","2.33265","75005","Atel_75005_565","mu-75005","kfex3075","kfex3075_566"
"ateliers d'artistes","152 Rue Saint-Maur, Paris","museum","48.8692","2.37463","75010","atel_75010_1043","mu-75010","kfex3075","kfex3075_1044"
"Ateliers-musée Chana Orloff","7 bis Villa Seurat, Paris","museum","48.8261","2.33269","75014","Atel_75014_1592","mu-75014","kfex3075","kfex3075_1593"
"Ateliers d'artistes","28 Rue Bezout, Paris","museum","48.829","2.33032","75014","Atel_75014_1594","mu-75014","kfex3075","kfex3075_1595"
"Atelier Lurçat","4 Villa Seurat, Paris","museum","48.8263","2.33237","75014","Atel_75014_1601","mu-75014","kfex3075","kfex3075_1602"
"Atelier Montparnasse - Hôtel Montparnasse Paris 14","84 Rue Raymond Losserand, Paris","playground","48.8334","2.31683","75014","Atel_75014_1615","pl-75014","kfex3075","kfex3075_1616"
"Ateliers de Saint Martin","8 Rue Labat, Paris","museum","48.8903","2.35082","75018","Atel_75018_2142","mu-75018","kfex3075","kfex3075_2143"
"Atelier Xavier Veilhan","19 Rue Fernand Léger, Paris","playground","48.8643","2.39058","75020","Atel_75020_2484","pl-75020","kfex3075","kfex3075_2485"
"ATOMIK Paris","16 Rue de la Cour des Noues, Paris","playground","48.8644","2.40195","75020","ATOM_75020_2461","pl-75020","kfex3075","kfex3075_2462"
"Au bon accueil","14 Rue de Monttessuy, Paris","restaurant","48.8597","2.29928","75007","Aub_75007_741","re-75007","kfex3075","kfex3075_742"
"Au Bon Coin","21 Rue de la Collégiale, Paris","restaurant","48.8381","2.35181","75013","AuB_75013_1412","re-75013","kfex3075","kfex3075_1413"
"Auberge Nicolas Flamel","51 Rue de Montmorency, Paris","restaurant","48.8635","2.35315","75001","Aube_75001_99","re-75001","kfex3075","kfex3075_100"
"Auberge Flora","44 Boulevard Richard-Lenoir, Paris","playground","48.8582","2.37191","75003","Aube_75003_395","pl-75003","kfex3075","kfex3075_396"
"Auberge Bressane","16 Avenue de la Motte-Picquet, Paris","restaurant","48.8565","2.30851","75007","Aube_75007_748","re-75007","kfex3075","kfex3075_749"
"Auberge Etchegorry","41 Rue de Croulebarbe, Paris","restaurant","48.8322","2.35057","75013","Aube_75013_1431","re-75013","kfex3075","kfex3075_1432"
"Au Cadet de Gascogne","4 Place du Tertre, Paris","restaurant","48.8867","2.34095","75018","AuC_75018_2115","re-75018","kfex3075","kfex3075_2116"
"Au Clairon des Chasseurs","3 Place du Tertre, Paris","restaurant","48.8866","2.34116","75018","AuC_75018_2124","re-75018","kfex3075","kfex3075_2125"
"Au Délice Du Sacré-Cœur","52bis Rue de Clignancourt, Paris","restaurant","48.8878","2.34808","75018","AuD_75018_2135","re-75018","kfex3075","kfex3075_2136"
"Audika - Audiologist Paris Mozart","12 Avenue Mozart, Paris","playground","48.8575","2.27301","75016","Audi_75016_1920","pl-75016","kfex3075","kfex3075_1921"
"Au Fond du Jardin","39 Rue Pelleport, Paris","park","48.8641","2.40408","75020","AuF_75020_2358","pa-75020","kfex3075","kfex3075_2359"
"Auguste Scheurer-Kestner Garden","2 Rue Jacob, Paris","park","48.8547","2.3367","75001","Augu_75001_36","pa-75001","kfex3075","kfex3075_37"
"Augusta Restaurant","98 Rue de Tocqueville, Paris","restaurant","48.8867","2.30878","75017","Augu_75017_2005","re-75017","kfex3075","kfex3075_2006"
